"","Lake_name","Invasion_category","Sample_type","Sample_origin","Collected_year","Collected_month_number","Littoral_zoobenthic_macroinvert_community_sample","Transect","Lat","Long","Sample_depth","Total_count","Vial_count","Functional_feeding_group","Method_of_take","real.name","Functional_group","Common_name","Scientific_name","Total_length_mm","Weight_g","Tube_box","Tube_ID","Tube_size_ml","Preservative","Isotope.sample.weight..mg.","Davis_ID_long","d13C","Total.C..µg.","d15N","Total.N..µg.","Type.of.Material","Sample.Weight..mg..from.Sample.List","Internal.ID","Lake_max_depth_m","Lake_surface_elev_m","Current_conversion","Secchi_m","Surface_area_ha","n","d13C_baseline","d13C_base_se","d15N_baseline","d15N_base_se","d13C_corr","d15N_corr"
"1","Big Salmon","Reference","Invertebrate","Autochthonous",2019,8,"YES",6,"47.601182","-113.3928",1,3,3,"Collector-gatherer-engulfer","D-net","Naididae","Littoral forage Invertebrate","Oligochaete worm","Naididae",NA,NA,"2019-AG","AGCF","1.5","Ethanol",0.931,"GOLF-H-11",-19.73,438.06,1.32,110.33,"Invertebrate",0.931,1668477,42,1340,0,9.33,393,8,-23.67625,1.033736181,0.81375,0.128701447,3.94625,0.50625
"2","Big Salmon","Reference","Fish","Autochthonous",2019,8,"NO",NA,"47.586166","-113.420207",NA,1,1,NA,"Hook and line","Bull trout","Bull trout","Bull trout","Salvelinus confluentus",399,755.3,"2019-AF","AFAB","1.5","Ethanol",0.919,"GOLF-D-06",-29.77,409.66,11.11,115.93,"Fish",0.919,1668424,42,1340,0,9.33,393,8,-23.67625,1.033736181,0.81375,0.128701447,-6.09375,10.29625
"3","Big Salmon","Reference","Invertebrate","Autochthonous",2019,8,"YES",1,"47.585561","-113.420298",1,4,2,"Engulfer-predator","D-net","Lestidae","Littoral forage Invertebrate","Spreadwinged damselfly","Lestidae",NA,NA,"2019-AF","AFCE","1.5","Ethanol",0.901,"GOLF-G-01",-26.35,423.89,3.39,120.84,"Invertebrate",0.901,1668455,42,1340,0,9.33,393,8,-23.67625,1.033736181,0.81375,0.128701447,-2.67375,2.57625
"4","Big Salmon","Reference","Invertebrate","Autochthonous",2019,8,"YES",1,"47.585561","-113.420298",1,4,2,"Engulfer-predator","D-net","Lestidae","Littoral forage Invertebrate","Spreadwinged damselfly","Lestidae",NA,NA,"2019-AF","AFCE","1.5","Ethanol",0.902,"GOLF-F-09",-26.58,417.48,4.01,108.38,"Invertebrate",0.902,1668451,42,1340,0,9.33,393,8,-23.67625,1.033736181,0.81375,0.128701447,-2.90375,3.19625
"6","Big Salmon","Reference","Periphyton","Autochthonous",2019,8,"NO",NA,"47.585993","-113.420044",0.5,NA,NA,NA,"Brush","Periphyton","Littoral forage Periphyton","Periphyton","Periphyton",NA,NA,"2019-15-1","19-065","15","Water",9.921,"INDIA-F-09",-20.81,177.16,0.62,15.02,"Plant",9.921,1668643,42,1340,0,9.33,393,8,-23.67625,1.033736181,0.81375,0.128701447,2.86625,-0.19375
"7","Big Salmon","Reference","Fish","Autochthonous",2019,8,"NO",NA,"47.586166","-113.420207",NA,1,1,NA,"Hook and line","Bull trout","Bull trout","Bull trout","Salvelinus confluentus",423,1399.3,"2019-AF","AFAA","1.5","Ethanol",0.93,"GOLF-D-05",-28.13,477.58,10.24,122.78,"Fish",0.93,1668423,42,1340,0,9.33,393,8,-23.67625,1.033736181,0.81375,0.128701447,-4.45375,9.42625
"8","Big Salmon","Reference","Invertebrate","Autochthonous",2019,8,"YES",2,"47.596063","-113.401724",1,1,1,"Shredder-gatherer-scraper-detritivore-herbivore","D-net","Limnephilidae","Littoral forage Invertebrate","Northern case maker caddisfly","Limnephilidae",NA,NA,"2019-AF","AFCS","1.5","Ethanol",1.034,"GOLF-G-10",-19.9,464.35,0.73,80.33,"Invertebrate",1.034,1668464,42,1340,0,9.33,393,8,-23.67625,1.033736181,0.81375,0.128701447,3.77625,-0.08375
"9","Big Salmon","Reference","Fish","Autochthonous",2019,8,"NO",NA,"47.586166","-113.420207",NA,1,1,NA,"Hook and line","Bull trout","Bull trout","Bull trout","Salvelinus confluentus",532,1188,"2019-AF","AFAM","1.5","Ethanol",0.976,"GOLF-D-12",-29.08,467.02,11.64,141.05,"Fish",0.976,1668430,42,1340,0,9.33,393,8,-23.67625,1.033736181,0.81375,0.128701447,-5.40375,10.82625
"10","Big Salmon","Reference","Invertebrate","Autochthonous",2019,8,"YES",2,"47.596063","-113.401724",1.5,4,4,"Piercer-predator","D-net","Hydrachnidia","Littoral forage Invertebrate","Water mite","Hydrachnidia",NA,NA,"2019-AF","AFDB","1.5","Ethanol",0.906,"GOLF-G-12",-21.7,428.52,3.42,120.96,"Invertebrate",0.906,1668466,42,1340,0,9.33,393,8,-23.67625,1.033736181,0.81375,0.128701447,1.97625,2.60625
"12","Big Salmon","Reference","Invertebrate","Autochthonous",2019,8,"NO",NA,"47.587444","-113.413688",17,1,1,"Collector-gatherer-scraper","Dredge","Chironomidae_w","Profundal forage Invertebrate","Midge","Chironomidae_w",NA,NA,"2019-AG","AGDL","1.5","Ethanol",0.306,"OSCAR-H-03",-34.33,136.98,1.77,36.87,"Invertebrate",0.306,1669237,42,1340,0,9.33,393,8,-23.67625,1.033736181,0.81375,0.128701447,-10.65375,0.95625
