Lake_name,Lake_transect,Invasion_category,Timestep_years
Big Salmon,Big Salmon1,Reference,0
Big Salmon,Big Salmon2,Reference,0
Big Salmon,Big Salmon3,Reference,0
Big Salmon,Big Salmon4,Reference,0
Big Salmon,Big Salmon5,Reference,0
Big Salmon,Big Salmon6,Reference,0
Big Salmon,Big Salmon7,Reference,0
Bowman,Bowman1,Late,42.51683
Bowman,Bowman2,Late,42.51683
Bowman,Bowman3,Late,42.51683
Bowman,Bowman4,Late,42.51683
Bowman,Bowman5,Late,42.51683
Bowman,Bowman6,Late,42.51683
Bowman,Bowman7,Late,42.51683
Kintla,Kintla1,Late,49.79513
Kintla,Kintla2,Late,49.79513
Kintla,Kintla3,Late,49.79513
Kintla,Kintla4,Late,49.79513
Kintla,Kintla5,Late,49.79513
Kintla,Kintla6,Late,49.79513
Kintla,Kintla7,Late,49.79513
Lindbergh,Lindbergh1,Late,40.21856
Lindbergh,Lindbergh2,Late,40.21856
Lindbergh,Lindbergh3,Late,40.21856
Lindbergh,Lindbergh4,Late,40.21856
Lindbergh,Lindbergh5,Late,40.21856
Lindbergh,Lindbergh6,Late,40.21856
Lindbergh,Lindbergh7,Late,40.21856
Logging,Logging1,Mid,37.6838
Logging,Logging2,Mid,37.6838
Logging,Logging3,Mid,37.6838
Logging,Logging4,Mid,37.6838
Logging,Logging5,Mid,37.6838
Logging,Logging6,Mid,37.6838
Logging,Logging7,Mid,37.6838
McDonald,McDonald1,Late,38.53396
McDonald,McDonald2,Late,38.53396
McDonald,McDonald3,Late,38.53396
McDonald,McDonald4,Late,38.53396
McDonald,McDonald5,Late,38.53396
McDonald,McDonald6,Late,38.53396
McDonald,McDonald7,Late,38.53396
Quartz,Quartz1,Mid,33.9097
Quartz,Quartz2,Mid,33.9097
Quartz,Quartz3,Mid,33.9097
Quartz,Quartz4,Mid,33.9097
Quartz,Quartz5,Mid,33.9097
Quartz,Quartz6,Mid,33.9097
Quartz,Quartz7,Mid,33.9097
Swan,Swan1,Mid,33.9097
Swan,Swan2,Mid,33.9097
Swan,Swan3,Mid,33.9097
Swan,Swan4,Mid,33.9097
Swan,Swan5,Mid,33.9097
Swan,Swan6,Mid,33.9097
Swan,Swan7,Mid,33.9097
Trout,Trout1,Reference,0
Trout,Trout2,Reference,0
Trout,Trout3,Reference,0
Trout,Trout4,Reference,0
Trout,Trout5,Reference,0
Trout,Trout6,Reference,0
Trout,Trout7,Reference,0
