d13C,d15N,Invasion,Lake
-27.81,10.94,Late,Bowman
-28.52,10.28,Late,Bowman
-27.8,11.05,Late,Bowman
-27.71,11.19,Late,Bowman
-26.29,10.54,Late,Bowman
-25.62,10.98,Late,Bowman
-24.6,6.46,Late,Bowman
-27.13,10.59,Late,Bowman
-27.97,10.51,Late,Bowman
-29.32,7.75,Late,Bowman
-25.72,9.67,Late,Kintla
-26,10.65,Late,Kintla
-24.62,10.03,Late,Kintla
-25.46,10.65,Late,Kintla
-24.02,10.88,Late,Kintla
-25.16,9.96,Late,Kintla
-26.2,10.38,Late,Kintla
-25.67,9.69,Late,Kintla
-28.38,11.04,Late,Kintla
-25.99,10.57,Late,Kintla
-31.55,11.66,Late,Lindbergh
-30.38,10.72,Late,Lindbergh
-31.5,11.14,Late,Lindbergh
-29.23,11.11,Late,Lindbergh
-31.21,10.84,Late,Lindbergh
-26.64,11.76,Mid,Logging
-27.38,10.47,Mid,Logging
-27.76,10.77,Mid,Logging
-28.9,11.47,Mid,Logging
-26.48,12.29,Mid,Logging
-27.2,11.35,Mid,Logging
-26.13,10.95,Mid,Logging
-25.66,11.84,Mid,Logging
-24.51,11.33,Mid,Logging
-24.67,11.97,Mid,Logging
-29.49,10.29,Late,McDonald
-27.78,10.32,Late,McDonald
-27.9,11.34,Late,McDonald
-28.52,11.78,Late,McDonald
-26.91,10.85,Late,McDonald
-26.71,10.24,Late,McDonald
-27.42,10.8,Late,McDonald
-25.25,11.07,Late,McDonald
-28.75,11.43,Mid,Quartz
-27.23,10.78,Mid,Quartz
-27.71,10.94,Mid,Quartz
-28.37,10.83,Mid,Quartz
-29.52,10.86,Mid,Quartz
-29.94,10.23,Mid,Quartz
-28.86,10.78,Mid,Quartz
-28.59,11.17,Mid,Quartz
-28.41,10.85,Mid,Quartz
-29.22,7.62,Mid,Quartz
-34.86,11.75,Mid,Swan
-33.71,11.87,Mid,Swan
-32.69,11.73,Mid,Swan
-34.33,11.87,Mid,Swan
-32.53,11.65,Mid,Swan
-31.35,12.19,Mid,Swan
-31.88,11.94,Mid,Swan
-35.27,12.2,Mid,Swan
-32.06,11.61,Mid,Swan
-32.59,12.46,Mid,Swan
